Date;GOOG.NASDAQ_AAPL - Close;GOOG.NASDAQ_GOOGL - Close;GOOG.NASDAQ_MSFT - Close;GOOG.NASDAQ_FB - Close;GOOG.NYSE_ORCL - Close
2012-08-08;88.55;321.44;30.33;20.72;31.16
2012-08-09;88.68;321.5;30.5;21.01;31.37
2012-08-10;88.81;321.32;30.42;21.81;31.61
2012-08-13;90.0;330.34;30.39;21.6;31.36
2012-08-14;90.24;334.66;30.13;20.38;31.35
2012-08-15;90.12;334.1;30.2;21.2;31.55
2012-08-16;90.91;336.77;30.78;19.87;32.03
2012-08-17;92.59;338.91;30.9;19.05;32.2
2012-08-20;95.02;338.11;30.74;20.01;32.04
2012-08-21;93.72;335.09;30.8;19.16;31.75
2012-08-22;95.55;338.93;30.54;19.44;31.7
2012-08-23;94.66;338.74;30.26;19.44;31.58
2012-08-24;94.75;339.65;30.56;19.41;31.95
2012-08-27;96.53;334.94;30.69;19.15;31.83
2012-08-28;96.4;338.96;30.63;19.34;31.58
2012-08-29;96.21;344.35;30.65;19.1;31.49
2012-08-30;94.84;341.18;30.32;19.09;31.17
2012-08-31;95.03;342.89;30.82;18.06;31.65
2012-09-04;96.42;340.86;30.38;17.73;31.57
2012-09-05;95.75;340.7;30.39;18.58;32.07
2012-09-06;96.61;350.05;31.34;18.96;32.63
2012-09-07;97.21;353.43;30.95;18.98;32.6
2012-09-10;94.68;350.74;30.72;18.81;32.31
2012-09-11;94.37;346.44;30.79;19.43;32.32
2012-09-12;95.68;345.78;30.78;20.93;32.26
2012-09-13;97.57;353.37;30.94;20.71;32.62
2012-09-14;98.75;355.19;31.21;22.0;32.95
2012-09-17;99.97;355.34;31.21;21.52;33.1
2012-09-18;100.27;359.5;31.18;21.87;33.02
2012-09-19;100.3;364.11;31.05;23.29;32.78
2012-09-20;99.81;364.42;31.45;22.59;32.26
2012-09-21;100.01;367.36;31.19;22.86;32.47
2012-09-24;98.68;375.06;30.78;20.79;32.22
2012-09-25;96.22;374.95;30.39;20.28;31.3
2012-09-26;95.03;377.11;30.16;20.62;30.72
2012-09-27;97.33;378.63;30.16;20.32;31.22
2012-09-28;95.3;377.63;29.76;21.66;31.46
2012-10-01;94.2;381.27;29.49;21.99;31.67
2012-10-02;94.47;378.87;29.66;22.27;31.65
2012-10-03;95.92;381.63;29.86;21.83;31.82
2012-10-04;95.26;384.41;30.03;21.95;31.9
2012-10-05;93.23;384.21;29.85;20.91;31.39
2012-10-08;91.17;379.3;29.78;20.4;31.18
2012-10-09;90.84;372.42;29.28;20.23;30.65
2012-10-10;91.56;372.65;28.98;19.64;30.58
2012-10-11;89.7;376.12;28.95;19.75;30.72
2012-10-12;89.96;372.75;29.2;19.52;31.0
2012-10-15;90.68;370.86;29.51;19.52;31.3
2012-10-16;92.83;372.72;29.49;19.48;31.87
2012-10-17;92.09;378.12;29.59;19.88;31.23
2012-10-18;90.38;347.85;29.5;18.98;31.12
2012-10-19;87.12;341.24;28.64;19.0;30.48
2012-10-22;90.58;339.67;28.0;19.32;30.8
2012-10-23;87.62;340.52;28.05;19.5;30.59
2012-10-24;88.12;338.99;27.9;23.23;30.6
2012-10-25;87.08;339.22;27.88;22.56;30.86
2012-10-26;86.29;337.91;28.21;21.94;30.99
2012-10-31;85.05;340.49;28.54;21.11;31.08
2012-11-01;85.22;344.14;29.52;21.21;31.48
2012-11-02;82.4;344.3;29.5;21.18;31.21
2012-11-05;83.52;341.82;29.63;21.25;31.25
2012-11-06;83.26;341.2;29.86;21.17;31.63
